NumPartners,Count,Gender,Percent
0,6,M,0.75
1,100,M,12.56
2,44,M,5.53
3,39,M,4.9
4,58,M,7.29
5,51,M,6.41
6,52,M,6.53
7,33,M,4.15
8,47,M,5.9
9,23,M,2.89
10,47,M,5.9
11,9,M,1.13
12,24,M,3.02
13,5,M,0.63
14,6,M,0.75
15,24,M,3.02
16,9,M,1.13
17,7,M,0.88
18,9,M,1.13
19,2,M,0.25
20,38,M,4.77
21,6,M,0.75
22,2,M,0.25
23,6,M,0.75
24,3,M,0.38
25,9,M,1.13
26,4,M,0.5
27,2,M,0.25
28,6,M,0.75
29,2,M,0.25
30,38,M,4.77
31,1,M,0.13
32,2,M,0.25
33,0,M,0
34,2,M,0.25
35,12,M,1.51
36,0,M,0
37,0,M,0
38,2,M,0.25
39,0,M,0
40,13,M,1.63
41,0,M,0
42,2,M,0.25
43,0,M,0
44,0,M,0
45,4,M,0.5
46,0,M,0
47,1,M,0.13
48,0,M,0
49,0,M,0
50,10,M,1.26
51,0,M,0
52,2,M,0.25
53,0,M,0
54,0,M,0
55,3,M,0.38
56,0,M,0
57,0,M,0
58,0,M,0
59,0,M,0
60,2,M,0.25
61,0,M,0
62,0,M,0
63,0,M,0
65,1,M,0.13
67,0,M,0
68,0,M,0
69,0,M,0
70,4,M,0.5
71,0,M,0
72,0,M,0
73,0,M,0
74,0,M,0
75,0,M,0
76,0,M,0
78,0,M,0
79,0,M,0
80,2,M,0.25
81,0,M,0
83,0,M,0
84,0,M,0
85,0,M,0
87,0,M,0
88,0,M,0
89,0,M,0
90,0,M,0
91,0,M,0
92,0,M,0
98,1,M,0.13
99,0,M,0
100,10,M,1.26
101,0,M,0
102,0,M,0
104,0,M,0
105,0,M,0
106,0,M,0
107,0,M,0
109,0,M,0
110,0,M,0
111,0,M,0
115,1,M,0.13
120,0,M,0
122,0,M,0
130,1,M,0.13
131,0,M,0
134,0,M,0
140,0,M,0
145,1,M,0.13
147,0,M,0
150,2,M,0.25
151,0,M,0
152,0,M,0
153,1,M,0.13
154,0,M,0
160,0,M,0
169,0,M,0
173,0,M,0
200,0,M,0
201,0,M,0
202,0,M,0
208,0,M,0
210,0,M,0
250,1,M,0.13
251,0,M,0
300,0,M,0
301,0,M,0
303,0,M,0
305,0,M,0
310,0,M,0
350,0,M,0
400,1,M,0.13
401,0,M,0
403,1,M,0.13
450,0,M,0
500,1,M,0.13
501,1,M,0.13
550,0,M,0
0,5,F,0.42
1,212,F,17.77
2,93,F,7.8
3,130,F,10.9
4,88,F,7.38
5,102,F,8.55
6,76,F,6.37
7,63,F,5.28
8,60,F,5.03
9,33,F,2.77
10,94,F,7.88
11,20,F,1.68
12,31,F,2.6
13,8,F,0.67
14,16,F,1.34
15,29,F,2.43
16,7,F,0.59
17,1,F,0.08
18,8,F,0.67
19,5,F,0.42
20,29,F,2.43
21,5,F,0.42
22,2,F,0.17
23,5,F,0.42
24,1,F,0.08
25,16,F,1.34
26,2,F,0.17
27,0,F,0
28,2,F,0.17
29,4,F,0.34
30,13,F,1.09
31,4,F,0.34
32,2,F,0.17
33,0,F,0
34,0,F,0
35,5,F,0.42
36,1,F,0.08
37,0,F,0
38,0,F,0
39,0,F,0
40,4,F,0.34
41,2,F,0.17
42,0,F,0
43,0,F,0
44,0,F,0
45,0,F,0
46,0,F,0
47,0,F,0
48,0,F,0
49,0,F,0
50,8,F,0.67
51,0,F,0
52,2,F,0.17
53,0,F,0
54,0,F,0
55,0,F,0
56,0,F,0
57,0,F,0
58,0,F,0
59,0,F,0
60,1,F,0.08
61,0,F,0
62,1,F,0.08
63,1,F,0.08
65,0,F,0
67,0,F,0
68,0,F,0
69,0,F,0
70,1,F,0.08
71,0,F,0
72,0,F,0
73,0,F,0
74,0,F,0
75,0,F,0
76,0,F,0
78,0,F,0
79,0,F,0
80,0,F,0
81,0,F,0
83,0,F,0
84,0,F,0
85,0,F,0
87,0,F,0
88,0,F,0
89,0,F,0
90,0,F,0
91,0,F,0
92,0,F,0
98,0,F,0
99,0,F,0
100,0,F,0
101,0,F,0
102,0,F,0
104,0,F,0
105,0,F,0
106,0,F,0
107,0,F,0
109,0,F,0
110,0,F,0
111,0,F,0
115,0,F,0
120,0,F,0
122,0,F,0
130,0,F,0
131,0,F,0
134,0,F,0
140,0,F,0
145,0,F,0
147,0,F,0
150,0,F,0
151,0,F,0
152,0,F,0
153,0,F,0
154,0,F,0
160,0,F,0
169,0,F,0
173,0,F,0
200,0,F,0
201,0,F,0
202,0,F,0
208,0,F,0
210,0,F,0
250,0,F,0
251,0,F,0
300,0,F,0
301,0,F,0
303,0,F,0
305,0,F,0
310,0,F,0
350,0,F,0
400,0,F,0
401,0,F,0
403,0,F,0
450,0,F,0
500,0,F,0
501,0,F,0
550,1,F,0.08
