Year,China,India,United States of America,Russian Federation,Japan,Indonesia,Germany,Brazil,United Kingdom,Northern Africa,Italy,France,Bangladesh,Nigeria,Pakistan,Ukraine,Mexico,Spain,Viet Nam,Poland,Turkey,Thailand,Egypt,Republic of Korea,Philippines,Ethiopia,Iran (Islamic Republic of),Argentina,Myanmar,Caribbean,Romania,Southern Africa,Canada,South Africa,Oceania,Colombia,Democratic Republic of the Congo,Australia/New Zealand,Dem. People's Republic of Korea,Netherlands,Hungary,Morocco,Algeria,Czechia,Belgium,Nepal,Portugal,Australia,Sri Lanka,Peru,"China, Taiwan Province of China",United Republic of Tanzania,Afghanistan,Greece,Belarus,Bulgaria,Sweden,Austria,Serbia,Kazakhstan,Uzbekistan,Chile,Malaysia,Mozambique,Kenya,Cuba,Iraq,Sudan,Venezuela (Bolivarian Republic of),Uganda,Ghana,Mali,Switzerland,Angola,Cambodia,Yemen,Cameroon,Burkina Faso,Denmark,Madagascar,Finland,Croatia,Tunisia,Ecuador,Georgia,Slovakia,Syrian Arab Republic,Norway,Haiti,Guatemala,Saudi Arabia,Guinea,Bolivia (Plurinational State of),Malawi,Azerbaijan,Ireland,Zimbabwe,Bosnia and Herzegovina,Cote d'Ivoire,Niger,South Sudan,Lithuania,Senegal,Chad,Dominican Republic,Republic of Moldova,Zambia,Burundi,Somalia,Uruguay,Benin,Rwanda,El Salvador,Puerto Rico,Melanesia,"China, Hong Kong SAR",Sierra Leone,New Zealand,Latvia,Kyrgyzstan,Lao People's Democratic Republic,Papua New Guinea,Honduras,Tajikistan,Paraguay,Slovenia,Jamaica,Togo,Armenia,Lebanon,Israel,Central African Republic,Nicaragua,TFYR Macedonia,Albania,Turkmenistan,Eritrea,Libya,Estonia,Singapore
1950,554419.28,376325.2,158804.4,102798.66,82802.08,69543.32,69966.24,53974.73,50616.01,49048.94,46598.6,41879.61,37894.68,37859.74,37542.38,37297.65,28012.56,28069.74,24809.91,24824.02,21408.4,20710.36,20713.33,19211.39,18580.49,18128.03,17119.27,17150.34,17151.51,17075.67,16236.3,15533.18,13733.4,13628.43,12647.78,12340.9,12183.66,10085.34,10549.47,10042.04,9337.72,8985.99,8872.25,8902.62,8637.52,8483.33,8416.97,8177.34,7971.1,7727.73,7623.36,7649.76,7752.12,7668.79,7745,7251,7009.91,6936.44,6732.26,6702.99,6264.06,6188.28,6109.92,6152.24,6076.76,5919.99,5719.19,5733.79,5481.98,5158.19,4980.88,4708.43,4668.09,4548.02,4432.71,4402.32,4307.02,4284.46,4268.27,4083.55,4008.29,3850.3,3605.31,3470.16,3527.01,3436.57,3413.33,3265.27,3221.28,3114.96,3121.34,3093.65,3089.65,2953.87,2927.92,2913.09,2746.85,2661.3,2630.13,2559.7,2582.93,2567.4,2486.64,2502.32,2364.65,2341,2310.44,2308.92,2264.08,2238.51,2255.23,2186.19,2199.9,2218,2165.34,1974,2041.2,1908,1926.57,1740,1682.92,1674.04,1546.72,1531.5,1473.25,1473.09,1402.9,1395.46,1353.51,1334.62,1257.97,1326.65,1294.99,1254.45,1263.17,1210.99,1142.15,1124.52,1101,1022.1
1951,569611.08,382245.3,160905.04,104306.14,84315.6,70869.61,70299.36,55619.22,50621.42,50237.87,47021.9,42070.92,38705.08,38423.98,37975.28,37815.82,28836.11,28243.64,25364.45,25283.44,21951.21,21263.2,21215.01,19459.43,19246.61,18466.97,17516.58,17507.13,17470.06,17395.84,16512.66,15897.01,14098.68,13953.84,12971.3,12699.95,12428.83,10360.54,10248.5,10167.53,9480.57,9242.8,9039.91,9007.01,8680.17,8658.31,8432.97,8412.6,8108.43,7924.21,7893.06,7847.31,7839.51,7743.25,7717.07,7310.51,7073.23,6931.34,6853.29,6831.32,6476.16,6327.09,6271.49,6248.72,6240.16,6051.29,5901.51,5884.66,5735.17,5308.67,5068.44,4759.04,4726.29,4659.33,4537.54,4473.75,4382.93,4324.49,4308.92,4168.39,4050.49,3886.22,3696.45,3561.15,3555.87,3510.93,3498.53,3300.75,3275.37,3212.33,3198.55,3141.88,3140.34,3008.07,2987.27,2921.11,2829.75,2710.65,2695.12,2638.14,2601.65,2569.61,2545.16,2543.9,2438.41,2381.44,2366.63,2359.12,2307.67,2261.34,2258.48,2250.68,2236.58,2209.7,2203.57,2063.32,2062.44,1947.93,1933.99,1765.56,1723.16,1702.37,1588.56,1584.99,1511.77,1481.63,1436.94,1425.49,1381.87,1358.22,1354.1,1339.84,1331.75,1290.41,1287.5,1231.83,1159.8,1142.97,1113.25,1067.79
1952,582029.3,388538.62,163324.85,105969.2,85658.68,72309.9,70619.5,57307.48,50686.06,51487.6,47411.94,42365.58,39491.06,39035.15,38483.89,38360.51,29711.63,28442.37,25976.84,25764.93,22508.95,21837.99,21746.81,19829.39,19945.66,18819.7,17933.36,17866.1,17796.4,17734.61,16764.9,16273.35,14482.06,14291.42,13275.57,13064.69,12680.93,10613.77,10049.03,10297.98,9597.9,9528.26,9216.4,9110.14,8727.99,8824.46,8477.26,8620.97,8256.56,8128.52,8163.93,8055.91,7934.98,7814.59,7710.09,7371.97,7127.52,6931.2,6963.4,7041.8,6678.99,6467.64,6450.08,6352.58,6412.36,6180.03,6065.01,6041.33,5989.55,5455.54,5191.22,4811.2,4788.96,4774.56,4656.28,4545.74,4460.32,4367.13,4346.18,4256.77,4096.55,3922.67,3773.36,3655.01,3588.62,3587.66,3591.01,3334.48,3331.58,3311.54,3283.3,3185.91,3193.29,3065.03,3060.01,2924.05,2917.37,2764.71,2770.36,2716.82,2625.13,2578.05,2606.42,2588.91,2517.26,2432.1,2427.99,2403.51,2351.93,2286.27,2264.87,2313.31,2278.31,2212.1,2244.83,2160.1,2084.94,1992.8,1945.96,1795.13,1764.01,1731.23,1631.73,1637.95,1550.76,1491.67,1468.02,1441.91,1418.28,1392.73,1451.49,1353.47,1371.52,1320.98,1316.09,1258.39,1179.54,1163.89,1125.24,1119.93
1953,592567.86,395160.09,165988.19,107729.37,86869.43,73866.52,70929.26,59030.86,50797.27,52800.14,47765.98,42724.22,40300.36,39685.76,39063.87,38916.26,30634.22,28658.67,26646.17,26261.07,23081.58,22436.53,22309.1,20307.9,20670.54,19184.29,18368.9,18224.15,18135.96,18084.02,17005.72,16662.28,14884.17,14641.02,13572.46,13438.65,12944.39,10857.13,9957.24,10432.3,9692.84,9836.53,9405.44,9205.96,8779.27,8984.31,8537.75,8816.9,8417.12,8340.38,8440.26,8274.75,8038.6,7883,7723.23,7434.61,7175.67,6935.14,7063.16,7315.65,6879.76,6610.73,6640.04,6463.09,6593.11,6304.52,6216.13,6204.1,6244.65,5601.24,5339.18,4864.76,4851.98,4890.47,4783.09,4618.55,4539.44,4413.2,4380.3,4348.72,4144.3,3959.12,3838.51,3752.14,3625.6,3664.92,3690.74,3367.06,3390.05,3413.17,3372.62,3228.38,3248.46,3124.73,3142.81,2921.36,3008.93,2821.31,2852.5,2795.81,2653.1,2591.37,2670.59,2636.26,2600.8,2491.06,2493.51,2445.42,2397.16,2313.21,2274.48,2378.45,2324.56,2221.02,2288.86,2264.11,2108.43,2040.23,1961.66,1828.2,1805.52,1761.05,1676.5,1690.33,1590.5,1502.84,1495.67,1452.09,1461.42,1434.85,1546.24,1367.8,1414.28,1347.46,1348.1,1289.83,1201.12,1187.73,1136.9,1177.58
1954,601971.22,402077.03,168827.61,109537.79,87980.32,75539.74,71233.13,60784.89,50945.4,54176.15,48084.81,43117.85,41169.07,40370.37,39711.64,39471.67,31599.8,28887.35,27370.7,26764.86,23668.91,23060.43,22901.6,20880.43,21416.1,19560.02,18822.6,18579.04,18492.48,18438.79,17243.82,17064.04,15303.89,15002.73,13870.9,13824.73,13222.52,11099.67,9972.44,10569.69,9768.62,10162.68,9609.51,9290.49,8832.7,9140.06,8604.73,9011.19,8591.03,8559.72,8725.47,8503.22,8150.45,7948.53,7755.06,7497.87,7220.06,6942.62,7153.36,7636.83,7084.38,6756.97,6837.36,6579.63,6782.29,6424.17,6360.44,6373.31,6500.64,5748.21,5504.25,4919.55,4912.89,5004.76,4913.7,4692.42,4620.63,4463.17,4411.66,4444.29,4191.98,3995.14,3894.39,3852.86,3667.06,3741.21,3797.62,3398.91,3450.85,3517.65,3464.55,3271.31,3305.84,3187.17,3233.17,2913.05,3103.9,2878.85,2939.22,2875.27,2685.33,2608.52,2737.83,2685.2,2688.7,2556.59,2562.48,2487.39,2443.63,2342.04,2287.39,2448.83,2374.97,2233.41,2335.45,2374.54,2132.73,2088.48,1980.4,1864.5,1847.78,1792.14,1723.01,1742.35,1631.19,1514.78,1519.79,1461.52,1510.17,1481.96,1635.78,1383.07,1459.85,1370.98,1382.88,1325.43,1224.38,1214.83,1148.21,1239.68
1955,610834.4,409269.06,171783.84,111355.22,89018.26,77327.79,71537.54,62569.2,51123.71,55615.1,48372.84,43527.76,42121.52,41085.56,40424.3,40019.45,32605.18,29125.35,28147.79,27269.75,24270.59,23711.05,23523.38,21531.33,22179.1,19947.29,19294,18929.35,18867.97,18796.5,17483.94,17479.12,15738.36,15376.83,14176.71,14225.2,13517.51,11347.3,10086.99,10709.63,9828.44,10502.67,9829.72,9361.76,8887.27,9293.49,8670.88,9210.91,8778.45,8786.76,9022.18,8740.99,8270.58,8011.12,7803.54,7561.41,7262.62,6953.41,7234.92,7992,7297.3,6906.84,7039.72,6701.75,6979.93,6539.47,6502.66,6549.3,6758.37,5898.84,5680.41,4975.4,4970.81,5116.07,5045.29,4767.59,4704.23,4517.16,4440.78,4543.54,4238.28,4030.41,3943.53,3957.49,3713.12,3815.4,3911.5,3430.34,3514.07,3625.3,3558.16,3316.14,3365.36,3252.33,3329.39,2899.78,3202.02,2936.31,3029.3,2955.54,2721.54,2628.75,2808.23,2735.21,2780.65,2627.01,2634.46,2531.18,2491.52,2372.57,2303.59,2525.53,2429.33,2247.42,2384.38,2490.1,2157.75,2136.39,2001.57,1904.06,1890.85,1824.71,1771.35,1794.41,1673.01,1527.21,1540.62,1473.84,1563.51,1532.11,1718.96,1399.49,1508.03,1392.45,1419.97,1364.63,1249.19,1245.36,1159.23,1305.09
1956,619597.55,416728.77,174805.94,113152.38,90004.31,79226.79,71850.98,64387.82,51328.66,57115.14,48638.3,43946.21,43169.93,41830.03,41199.7,40556.53,33647.98,29371.82,28973.87,27769.54,24886.11,24389.52,24172.87,22243.63,22958.36,20347.81,19782.7,19274.53,19262.65,19157.5,17726.63,17908.23,16182.88,15763.82,14492.82,14641.72,13830.44,11602.73,10285.94,10851.92,9875.55,10853.33,10065.82,9420.02,8942.4,9446.01,8731.33,9419.27,8978.77,9021.96,9331.9,8987.98,8399.03,8070.64,7865.98,7625.11,7304.78,6967.63,7308.93,8370.63,7521.59,7060.66,7246.54,6829.09,7186.21,6652.09,6646.64,6732.44,7019.41,6055.52,5863.69,5032.12,5026.67,5224,5176.66,4844.33,4790.71,4574.94,4468.35,4646.58,4282.38,4064.77,3988.48,4066.24,3763.76,3886.75,4032.07,3461.51,3579.73,3736.24,3653.56,3363.66,3427,3320.22,3430.66,2882.85,3303.27,2993.27,3122.63,3037.06,2761.54,2651.63,2881.81,2786.05,2876.43,2700.79,2709.36,2577.74,2540.99,2404.5,2323.06,2607.95,2487.59,2262.42,2435.63,2608.94,2183.52,2183.46,2024.68,1947.22,1934.81,1858.89,1821.54,1847.25,1716.11,1539.79,1558.82,1490.73,1620.59,1584.03,1796.01,1417.22,1558.47,1412.61,1459.09,1406.98,1275.53,1279.41,1170.1,1372.49
1957,628551.41,424461.11,177851.16,114909.59,90953.95,81230.75,72183.92,66248.95,51559.67,58673.2,48892.97,44375.74,44314.82,42604.51,42036.39,41083.98,34726.72,29628.01,29844.53,28258.52,25514.81,25096.79,24847.82,22999.24,23754.59,20764.45,20288.44,19614.85,19675.04,19524.81,17968.47,18352.23,16630.98,16164.41,14819.08,15075.31,14161.24,11865.65,10547.39,10996.64,9913.23,11212.45,10316.29,9467.55,8997.84,9598.63,8783.55,9635.83,9190.66,9266.08,9655.24,9244.35,8535.81,8126.81,7939.12,7689.05,7347.48,6985.72,7376.69,8764.92,7758.93,7218.59,7458.9,6961.49,7401.42,6764.79,6795.4,6923.12,7285.97,6220.63,6052.16,5089.51,5083,5329.1,5308.14,4922.89,4880.59,4635.96,4495.22,4753.52,4323.92,4098.12,4031.79,4179.32,3818.85,3954.86,4158.98,3492.45,3647.81,3850.43,3751.88,3414.05,3490.68,3390.8,3537.03,2864.14,3407.91,3049.92,3220.16,3120.44,2805.11,2677,2958.54,2837.76,2975.81,2776.55,2787.34,2627.23,2592.13,2437.5,2345.72,2693.82,2549.83,2278.96,2489.14,2728.67,2210.13,2229.83,2049.32,1994.56,1979.73,1894.68,1873.5,1901.78,1760.58,1552.25,1575.36,1512.03,1680.71,1637.13,1868.58,1436.39,1610.82,1432.02,1500.15,1452.17,1303.42,1316.91,1181.02,1440.46
1958,637853.61,432481.66,180884.46,116615.77,91877.7,83332.05,72548.04,68164.04,51818.62,60285.15,49151.47,44827.61,45546.48,43411.48,42933.59,41606.29,35840.65,29896.93,30754.61,28731.44,26155.91,25833.55,25545.48,23779.37,24570.18,21201.03,20811.06,19951.32,20102.25,19903.82,18202.71,18812.2,17074.87,16579.48,15152.85,15526.39,14508.91,12133.08,10843.98,11144.07,9944.7,11578.56,10578.45,9508.37,9053.64,9752.05,8827.14,9856.95,9412.16,9520.05,9991.99,9510.51,8680.95,8179.27,8019.18,7753.53,7391.25,7008.42,7439.61,9169.45,8009.77,7380.64,7679.27,7098.86,7626,6881.21,6951.16,7121.74,7560.82,6396.46,6245.65,5147.35,5143.67,5432.72,5441.32,5003.53,4974.43,4699.34,4522.33,4864.52,4362.91,4130.49,4075.96,4296.83,3878.13,4019.64,4291.8,3523.05,3718.28,3967.75,3855.08,3466.99,3556.36,3464.05,3649.19,2846.06,3516.4,3106.89,3323.76,3206.36,2852.02,2704.99,3038.33,2890.64,3078.63,2852.99,2868.84,2679.14,2644.99,2471.15,2371.45,2779.55,2616.28,2298.57,2544.92,2846.52,2237.77,2276.13,2075.17,2046.92,2025.67,1931.99,1927.1,1959.14,1806.52,1564.36,1591.51,1535.97,1743.3,1691.36,1939.45,1457.11,1664.61,1451.02,1543.22,1500.02,1332.95,1357.73,1192.25,1507.51
1959,647555.96,440813.9,183877.87,118266.78,92782.22,85521.98,72955.24,70146.51,52108.97,61946.19,49429.95,45319.11,46847.45,44254.69,43890.98,42130.32,36989.69,30182.78,31698.43,29183.69,26808.62,26600.28,26262.7,24565.35,25408.6,21662,21350.52,20285.53,20540.4,20301.22,18420.45,19289.33,17506.05,17009.99,15489.65,15994.89,14871.77,12400.15,11145.15,11294.69,9973.06,11950.83,10848.97,9547.67,9110.07,9906.69,8863.39,10076.74,9640.84,9784.91,10341.22,9787.03,8834.45,8227.65,8102.2,7818.91,7436.26,7036.55,7499.17,9580.8,8273.56,7546.71,7911.04,7241.23,7860.48,7005.48,7115.51,7328.72,7846.95,6585.11,6445.28,5205.45,5213.4,5536.78,5578.68,5086.54,5072.8,4764.08,4550.68,4979.75,4399.67,4161.96,4123.44,4418.89,3941.23,4081.32,4430.1,3553.13,3791.1,4087.92,3965.82,3521.7,3623.97,3539.97,3768.33,2831.25,3629.36,3165.19,3435.93,3295.58,2902.08,2735.87,3121.09,2945.1,3184.76,2928.99,2954.48,2732.44,2699.6,2505.02,2400.13,2860.69,2687.23,2323.45,2603.08,2959.53,2266.69,2323.41,2102,2105.18,2072.7,1970.69,1982.19,2020.55,1853.94,1575.87,1608.72,1559.67,1807.92,1747.16,2012.15,1479.47,1719.37,1469.84,1588.48,1550.41,1364.28,1401.62,1204.11,1572.14
