Year,Europe,World,Africa,Asia,Oceania,NorthernAmerica,LatinAmericaandCarribean,,,,,,,
1950,549,2536,229,1404,13,173,169,,,,,,,
1951,554,2584,233,1435,13,175,173,,,,,,,
1952,560,2631,238,1463,13,178,178,,,,,,,
1953,566,2677,243,1491,14,181,183,,,,,,,
1954,571,2724,248,1518,14,184,188,,,,,,,
1955,577,2772,254,1546,14,188,193,,,,,,,
1956,583,2821,260,1575,14,191,198,,,,,,,
1957,589,2872,266,1604,15,195,204,,,,,,,
1958,594,2924,272,1635,15,198,209,,,,,,,
1959,600,2978,278,1667,15,201,215,,,,,,,
1960,606,3033,285,1700,16,205,221,,,,,,,
1961,612,3090,292,1735,16,208,227,,,,,,,
1962,618,3149,299,1771,16,211,234,,,,,,,
1963,624,3210,307,1808,17,214,240,,,,,,,
1964,630,3274,314,1848,17,217,247,,,,,,,
1965,635,3340,322,1891,18,220,253,,,,,,,
1966,640,3408,331,1937,18,222,260,,,,,,,
1967,645,3479,339,1985,18,224,267,,,,,,,
1968,649,3552,348,2035,19,227,274,,,,,,,
1969,653,3626,357,2086,19,229,281,,,,,,,
1970,657,3701,366,2138,20,231,288,,,,,,,
1971,662,3776,376,2189,20,233,295,,,,,,,
1972,666,3852,386,2241,20,236,303,,,,,,,
1973,670,3928,396,2293,21,238,310,,,,,,,
1974,674,4003,407,2344,21,240,318,,,,,,,
1975,678,4079,418,2394,22,242,325,,,,,,,
1976,681,4154,429,2444,22,245,333,,,,,,,
1977,685,4229,441,2493,22,247,341,,,,,,,
1978,688,4304,454,2542,22,250,348,,,,,,,
1979,691,4381,467,2592,23,252,356,,,,,,,
1980,694,4458,480,2642,23,254,364,,,,,,,
1981,697,4538,494,2694,23,257,372,,,,,,,
1982,700,4619,508,2747,24,259,380,,,,,,,
1983,703,4702,522,2802,24,262,389,,,,,,,
1984,705,4786,537,2858,25,264,397,,,,,,,
1985,708,4874,553,2916,25,267,405,,,,,,,
1986,711,4964,569,2976,25,269,413,,,,,,,
1987,714,5056,585,3038,26,272,421,,,,,,,
1988,717,5149,601,3100,26,275,430,,,,,,,
1989,719,5241,618,3162,27,278,438,,,,,,,
1990,722,5331,635,3221,27,280,446,,,,,,,
1991,724,5419,652,3279,28,283,454,,,,,,,
1992,725,5504,669,3334,28,286,462,,,,,,,
1993,727,5588,687,3387,28,289,471,,,,,,,
1994,728,5670,705,3439,29,292,479,,,,,,,
1995,728,5751,723,3489,29,295,487,,,,,,,
1996,728,5832,741,3539,30,299,495,,,,,,,
1997,728,5911,760,3588,30,302,503,,,,,,,
1998,728,5989,779,3636,30,306,511,,,,,,,
1999,727,6067,798,3683,31,309,518,,,,,,,
2000,727,6145,818,3730,31,313,526,,,,,,,
2001,727,6223,838,3777,32,316,533,,,,,,,
2002,728,6302,859,3824,32,319,540,,,,,,,
2003,728,6381,880,3871,33,322,547,,,,,,,
2004,729,6461,902,3918,33,325,555,,,,,,,
2005,730,6542,925,3964,34,328,562,,,,,,,
2006,732,6624,948,4011,34,331,569,,,,,,,
2007,733,6706,972,4057,35,334,576,,,,,,,
2008,734,6790,997,4103,35,337,583,,,,,,,
2009,736,6874,1023,4149,36,340,590,,,,,,,
2010,737,6958,1049,4194,37,343,598,,,,,,,
2011,738,7043,1077,4240,37,346,605,,,,,,,
2012,739,7128,1105,4286,38,348,612,,,,,,,
2013,740,7213,1134,4331,38,351,619,,,,,,,
2014,740,7298,1164,4376,39,353,626,,,,,,,
2015,741,7383,1194,4420,40,356,632,,,,,,,
