Index,"Region, subregion, country or area *",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1,World,2536274.72,2583816.79,2630584.38,2677230.36,2724302.47,2772242.54,2821383.44,2871952.28,2924081.24,2977824.69,3033212.53,3090305.28,3149244.25,3210271.35,3273670.77,3339592.69,3408121.41,3479053.82,3551880.7,3625905.51,3700577.65,3775790.9,3851545.18,3927538.7,4003448.15,4079087.2,4154287.59,4229201.26,4304377.11,4380585.76,4458411.53,4537845.78,4618776.17,4701530.84,4786483.86,4873781.8,4963633.23,5055636.13,5148556.96,5240735.12,5330943.46,5418758.8,5504401.15,5588094.84,5670319.7,5751474.42,5831565.02,5910566.3,5988846.1,6066867.39,6145006.99,6223412.16,6302149.64,6381408.99,6461370.87,6542159.38,6623847.91,6706418.59,6789771.25,6873741.05,6958169.16,7043008.59,7128176.94,7213426.45,7298453.03,7383008.82,7466964.28,7550262.1,7632819.33,7714576.92,7795482.31,7875464.63,7954468.98,8032487.48,8109532.82,8185613.76,8260710.12,8334801.64,8407900.35,8480027.36,8551198.64,8621415.78,8690673.51,8758973.11,8826315.62,8892701.94,8958126.69,9022590.08,9086103.8,9148683.65,9210337,9271063.27,9330845.89,9389655.93,9447454.65,9504209.57,9559909.2,9614545.44,9668093.43,9720525.98,9771822.75,9821979.2,9870996.14,9918868.23,9965592,10011171.42,10055609.54,10098925.72,10141161.41,10182370.37,10222598.47,10261867.91,10300193.3,10337605.23,10374134.68,10409808.3,10444646.73,10478663.35,10511866.5,10544259.44,10575846.55,10606640.45,10636651.71,10665879.01,10694316.77,10721963.76,10748825.99,10774916.27,10800248.73,10824840.81,10848708.18,10871858.04,10894298.62,10916049.66,10937133.17,10957565.8,10977355.76,10996502.49,11015004.82,11032857.62,11050055.19,11066592.64,11082465.22,11097667.99,11112193.71,11126032.8,11139172.51,11151596.85,11163286.4,11174218.74,11184367.72
2,More developed regions,814865.07,824212.67,834074.39,844263.52,854631.78,865069.44,875507.09,885913.9,896292.12,906668.5,917067.92,927484.93,937859.3,948065.41,957942.07,967380.89,976313.32,984784.25,992938.77,1000988.13,1009081.78,1017274.36,1025510.87,1033699.71,1041700.47,1049413.67,1056820.69,1063964.03,1070879.48,1077624.05,1084244.07,1090731.49,1097083.51,1103357.69,1109626.83,1115935.02,1122313.42,1128727,1135070.35,1141196.66,1146999.19,1152454.6,1157593.16,1162429.26,1166995.37,1171325.47,1175426.24,1179318.73,1183072.83,1186777.09,1190504.74,1194258.74,1198050.41,1201966.73,1206111.93,1210545.53,1215324.56,1220392.01,1225552.17,1230533.86,1235142.51,1239297.77,1243054.57,1246519.99,1249863.52,1253206.55,1256576.16,1259922.49,1263199.68,1266335.19,1269276.85,1272012.82,1274562.78,1276943.18,1279181,1281295.84,1283293.65,1285167.28,1286907.41,1288500.03,1289936.55,1291216.9,1292350.31,1293348.34,1294226.91,1294999.56,1295672.42,1296249.51,1296739.68,1297152.39,1297495.71,1297774.84,1297994.14,1298159.43,1298276.38,1298349.04,1298382.2,1298376.62,1298327.41,1298226.56,1298068.59,1297854.07,1297586.7,1297268.42,1296902,1296490.63,1296037.14,1295544.84,1295018.63,1294464.11,1293886.94,1293290.74,1292680.5,1292065.11,1291454.7,1290857.79,1290279.75,1289723.28,1289190.44,1288682.08,1288199.38,1287743.98,1287318.67,1286926.96,1286572.57,1286258.02,1285984.71,1285751.56,1285555.11,1285390.54,1285253.66,1285142.52,1285056.25,1284994.06,1284955.38,1284938.99,1284942.41,1284962.32,1284995.92,1285040.08,1285091.24,1285145.57,1285198.74,1285246.06,1285282.48,1285302.76,1285301.3,1285272.23,1285209.42,1285106.44,1284956.66
3,Less developed regions,1721409.65,1759604.12,1796510,1832966.84,1869670.69,1907173.09,1945876.35,1986038.38,2027789.13,2071156.19,2116144.61,2162820.35,2211384.95,2262205.94,2315728.7,2372211.8,2431808.09,2494269.57,2558941.93,2624917.38,2691495.87,2758516.54,2826034.31,2893838.98,2961747.68,3029673.52,3097466.9,3165237.23,3233497.63,3302961.7,3374167.46,3447114.29,3521692.66,3598173.15,3676857.03,3757846.77,3841319.8,3926909.13,4013486.6,4099538.46,4183944.27,4266304.2,4346807.99,4425665.58,4503324.33,4580148.95,4656138.78,4731247.57,4805773.28,4880090.3,4954502.25,5029153.42,5104099.23,5179442.26,5255258.94,5331613.85,5408523.35,5486026.58,5564219.09,5643207.2,5723026.65,5803710.82,5885122.36,5966906.47,6048589.51,6129802.27,6210388.12,6290339.61,6369619.65,6448241.73,6526205.46,6603451.82,6679906.21,6755544.3,6830351.82,6904317.92,6977416.47,7049634.36,7120992.94,7191527.32,7261262.09,7330198.88,7398323.19,7465624.77,7532088.71,7597702.38,7662454.27,7726340.57,7789364.12,7851531.26,7912841.29,7973288.43,8032851.75,8091496.5,8149178.27,8205860.53,8261526.99,8316168.82,8369766.02,8422299.42,8473754.17,8524125.13,8573409.44,8621599.81,8668690,8714680.79,8759572.4,8803380.87,8846142.78,8887906.26,8928711.53,8968577.17,9007512.8,9045540.13,9082679.99,9118950.51,9154366.98,9188940.07,9222676.06,9255577.35,9287647.17,9318896.47,9349333.04,9378952.06,9407744.2,9435705.74,9462841.28,9489164.72,9514693.62,9539450.27,9563454.52,9586715.52,9609242.37,9631055.6,9652177.79,9672626.81,9692413.35,9711540.17,9730008.9,9747817.53,9764963.96,9781447.07,9797266.48,9812421.93,9826911.23,9840730.04,9853871.21,9866324.62,9878076.99,9889112.3,9899411.06
4,Least developed countries,195259.06,199052.14,202904.86,206885.02,211045.06,215421.06,220033,224884.92,229967.08,235259.47,240742.2,246406.47,252264.34,258352.72,264721.84,271400.5,278419.93,285751.54,293292.82,300902.58,308486.37,316004.63,323506.5,331095.23,338920.3,347093.13,355653.61,364581.15,373854.42,383429.86,393279.3,403408.68,413846.6,424613.92,435737.69,447240.98,459115.74,471364.94,484033.07,497176.88,510827.58,525020.37,539720.45,554804.18,570101.96,585496.18,600926.16,616437.05,632146.82,648229.11,664804.76,681932.23,699560.74,717572.89,735796.58,754118.07,772488.97,790978.14,809731,828953.32,848791.96,869298.11,890423.47,912094,934192.32,956631.11,979387.93,1002485.96,1025936.73,1049764.68,1073984.28,1098590.73,1123562.73,1148879.15,1174512.55,1200440.58,1226649.54,1253133.58,1279887.68,1306909.87,1334195.7,1361735.46,1389516.14,1417526,1445752.29,1474182.63,1502805.36,1531609.18,1560581.91,1589711.2,1618984.51,1648390.6,1677916.86,1707547.91,1737266.94,1767059.06,1796910.69,1826811.7,1856754.48,1886733.52,1916741.58,1946768.53,1976801.44,2006826.88,2036830.35,2066798.18,2096717.83,2126578.68,2156370.88,2186085.29,2215711.98,2245239.69,2274655.07,2303944.19,2333092.11,2362084.4,2390908.78,2419553.13,2448004.59,2476249.91,2504276.45,2532072.63,2559627.1,2586927.67,2613962.03,2640718.79,2667187.82,2693360.02,2719226.44,2744778.7,2770008.91,2794909.45,2819473.31,2843694.36,2867566.89,2891085.72,2914245.31,2937040.88,2959468.88,2981526.77,3003211.54,3024520.09,3045448.84,3065994.27,3086152.97,3105922.01,3125299.04,3144282.27,3162870.51,3181063.17,3198860.21
5,"Less developed regions, excluding least developed countries",1526150.6,1560551.99,1593605.14,1626081.82,1658625.63,1691752.03,1725843.35,1761153.46,1797822.05,1835896.72,1875402.41,1916413.88,1959120.61,2003853.22,2051006.87,2100811.3,2153388.16,2208518.03,2265649.11,2324014.8,2383009.5,2442511.91,2502527.81,2562743.76,2622827.38,2682580.4,2741813.29,2800656.07,2859643.22,2919531.85,2980888.16,3043705.61,3107846.06,3173559.24,3241119.34,3310605.79,3382204.07,3455544.2,3529453.54,3602361.58,3673116.69,3741283.83,3807087.54,3870861.4,3933222.38,3994652.77,4055212.62,4114810.52,4173626.46,4231861.19,4289697.49,4347221.19,4404538.49,4461869.36,4519462.35,4577495.78,4636034.39,4695048.44,4754488.09,4814253.88,4874234.69,4934412.71,4994698.89,5054812.47,5114397.19,5173171.17,5231000.19,5287853.65,5343682.91,5398477.06,5452221.19,5504861.09,5556343.47,5606665.15,5655839.27,5703877.34,5750766.93,5796500.79,5841105.26,5884617.45,5927066.39,5968463.42,6008807.06,6048098.77,6086336.41,6123519.74,6159648.91,6194731.39,6228782.21,6261820.06,6293856.78,6324897.84,6354934.89,6383948.59,6411911.32,6438801.47,6464616.3,6489357.12,6513011.54,6535565.9,6557012.59,6577356.6,6596608.01,6614772.93,6631859.64,6647882.62,6662854.57,6676802.2,6689771.9,6701820.97,6712999.54,6723337.48,6732857.73,6741595.94,6749587.88,6756866.1,6763458.2,6769386.94,6774671.48,6779327.45,6783370.73,6786823.84,6789705.94,6792024.39,6793782.17,6794986.95,6795653.46,6795804.7,6795467.18,6794671.57,6793445.61,6791806.07,6789769.06,6787361.24,6784610.9,6781541.09,6778168.04,6774499.29,6770540.03,6766290.76,6761752.42,6756926.98,6751817.64,6746427.66,6740758.26,6734808.03,6728572.18,6722042.35,6715206.48,6708049.14,6700550.85
6,"Less developed regions, excluding China",1157196.54,1179836.18,1203955.39,1229495.32,1256404.34,1284636.95,1314154.92,1344926.32,1376925.49,1410131.19,1444523.77,1480080.62,1516773.66,1554566.9,1593421.69,1633307.45,1674213.07,1716134.56,1759060.15,1802980.51,1847894.95,1893810.4,1940746.11,1988732.74,2037809.86,2088018.14,2139324.29,2191749.75,2245451.27,2300633.57,2357419.2,2415840.78,2475780.98,2537020.11,2599254.12,2662232.09,2725864.13,2790108.76,2854819.74,2919844.7,2985061.98,3050394.03,3115805.65,3181279.86,3246825.3,3312454.64,3378157.83,3443939.05,3509852.73,3575973.86,3642371.42,3709070.1,3776100.93,3843549.29,3911515.03,3980077.16,4049235.09,4118990.85,4189420.66,4260613.47,4332606.96,4405430.29,4478990.92,4553048.98,4627282.13,4701441.32,4775416.04,4849208.31,4922818.33,4996288.6,5069639.77,5142838.58,5215818.71,5288533.45,5360930.25,5432967.09,5504610.14,5575845.98,5646679.39,5717127.01,5787196.41,5856875.96,5926139.51,5994963.36,6063319.41,6131182.34,6198530.54,6265349.19,6331627.09,6397355.77,6462522.4,6527110.25,6591093.23,6654437.86,6717104.82,6779059.71,6840278.2,6900741.97,6960429.6,7019321.44,7077398.22,7134644.81,7191042.65,7246565.94,7301186.66,7354883.55,7407641.22,7459456.65,7510336.16,7560293.54,7609338.86,7657472.49,7704688.96,7750987.65,7796367.12,7840827.33,7884369.14,7926995.7,7968712.1,8009524.21,8049437.64,8088456.65,8126584.02,8163821.55,8200170.16,8235632.03,8270211.2,8303913.97,8336747.75,8368721.27,8399842.63,8430117.02,8459549.74,8488150.22,8515928.17,8542891.94,8569050.47,8594407.16,8618960.34,8642705.23,8665640.57,8687770.59,8709104.42,8729654.71,8749434.56,8768456.46,8786731.3,8804268,8821073.38,8837152.52,8852508
7,High-income,672895.96,680630.36,688858.97,697440.33,706262.04,715241.15,724324.98,733489.98,742737.74,752087.82,761557.61,771139.59,780782.7,790383.61,799810.47,808971.48,817808.88,826349.66,834691.64,842980.94,851319.13,859742.93,868206.24,876629,884892.94,892915.21,900675.53,908209.21,915557.58,922784.09,929939.17,937034.82,944069.29,951063.48,958038.84,965012.86,971995.21,978991.36,986007.25,993046.32,1000109.34,1007209.92,1014346.22,1021484.21,1028577.09,1035594.96,1042533.88,1049417.71,1056280.71,1063171.02,1070130.22,1077128.7,1084169.2,1091360.76,1098845.3,1106701.84,1114996.07,1123635.56,1132346.74,1140755.11,1148592.39,1155747.29,1162295.16,1168383.99,1174248.89,1180060.96,1185859.36,1191584.02,1197191.03,1202605.51,1207775.44,1212691.46,1217383.65,1221885.06,1226243.3,1230492.02,1234642.87,1238683.35,1242592.37,1246337.81,1249896.19,1253263.84,1256448.27,1259450.36,1262273.73,1264922.45,1267397.68,1269702.24,1271844.05,1273833.35,1275679.33,1277386.66,1278960.4,1280411.22,1281751.22,1282990.05,1284135.48,1285190.37,1286154.31,1287024.01,1287798.29,1288480.64,1289077.28,1289593.72,1290036.2,1290410.79,1290721.91,1290973.89,1291172.97,1291325.83,1291438.41,1291514.92,1291559.2,1291577.11,1291574.41,1291556.1,1291526.21,1291486.66,1291436.57,1291373.58,1291296.41,1291205.69,1291103.97,1290994.64,1290881.67,1290767.98,1290655.82,1290545.1,1290433.95,1290319.4,1290199.5,1290073.91,1289944.59,1289815.27,1289690.92,1289575.18,1289468.57,1289369.92,1289279.68,1289197.85,1289123.67,1289055.63,1288991.53,1288928.49,1288862.9,1288791.06,1288708.46,1288610.55,1288492.15,1288347.81,1288171.67
8,Middle-income,1734480.84,1772394.34,1808889.49,1844730.27,1880558.37,1916892.38,1954124.31,1992523.41,2032248.84,2073370.39,2115931.19,2160014.41,2205801.81,2253598.28,2303761.74,2356493.84,2411923.76,2469839.27,2529661.21,2590588.8,2652001.37,2713763.49,2775915.24,2838237.81,2900525.97,2962675.79,3024530.79,3086205.96,3148221.74,3211302.68,3275987.7,3342257.47,3409973.02,3479379.24,3550746.69,3624140.52,3699744.23,3777150.73,3855094.07,3931884.62,4006282.32,4077818.41,4146729.06,4213363.87,4278375.61,4342278.35,4405121.31,4466813.95,4527594.92,4587741.55,4647489.69,4706978.59,4766301.52,4825586.52,4884948.74,4944485.73,5004220.79,5064199.91,5124552.32,5185424.32,5246881.51,5308974.42,5371564.9,5434287.58,5496648.67,5558263.98,5618975.12,5678780.1,5737641.72,5795574.03,5852576.17,5908592.62,5963545.54,6017395.54,6070108.46,6121661.38,6172027.49,6221205.28,6269232.43,6316166.87,6362053.89,6406905.25,6450716.67,6493498.73,6535260.57,6576010.17,6615750.95,6654489.74,6692241.03,6729021.32,6764839.99,6799701.84,6833596.52,6866497.7,6898369.08,6929181.57,6958928.07,6987607.37,7015202.95,7041697.38,7067079.46,7091350.85,7114518.12,7136582.84,7157548.84,7177426.66,7196226.79,7213974.39,7230714.41,7246502.86,7261389.32,7275402.73,7288566.22,7300917.23,7312494.56,7323332.91,7333460.71,7342900.94,7351675.18,7359801.64,7367298.15,7374188.1,7380490.68,7386213.08,7391357.7,7395931.75,7399949.22,7403432.67,7406408.12,7408905.78,7410952.4,7412563.79,7413753.88,7414546.22,7414964.91,7415029.5,7414754.03,7414144.66,7413203.74,7411929.15,7410319.45,7408374.85,7406097.16,7403488.43,7400549.16,7397276.97,7393666.46,7389708.41,7385389.96,7380694.91,7375603.04
9,Upper-middle-income countries,956203.66,980195.34,1001876.48,1022053.68,1041402.17,1060465.45,1079650.98,1099234.6,1119374.51,1140134.43,1161552.94,1183717.71,1206830.4,1231234.04,1257334.85,1285370.38,1315473.85,1347426.3,1380657.77,1414374.98,1447954.27,1481258.58,1514301.94,1546804.77,1578482.95,1609167.24,1638713.51,1667231.8,1695143.97,1723051.2,1751425.37,1780225,1809400,1839382.02,1870696.21,1903614.75,1938403.34,1974683.08,2011276.72,2046577.18,2079414.46,2109374.47,2136733.46,2161870.98,2185457.54,2208017.34,2229621.09,2250178.47,2269885.53,2288957.06,2307578.06,2325879.35,2343952.54,2361889.3,2379763.32,2397643.63,2415538.09,2433501.34,2451690.24,2470293.55,2489411.12,2509105.05,2529239.07,2549461.85,2569293.48,2588362.98,2606545.59,2623855.92,2640234.82,2655660.6,2670122.02,2683562.15,2695962.42,2707408.6,2718030.19,2727929.22,2737136.54,2745647.73,2753489.1,2760681.91,2767247.32,2773210.14,2778594.59,2783418.47,2787697.3,2791445.78,2794676.39,2797403.55,2799644.93,2801418.87,2802738.86,2803615.82,2804050.62,2804032.67,2803544.7,2802573.83,2801123.43,2799198.93,2796792.15,2793892.53,2790495.78,2786608.36,2782243.89,2777415.65,2772140.55,2766438.19,2760323.86,2753820.45,2746965.35,2739802.95,2732372.98,2724699.64,2716804.58,2708721.02,2700483.87,2692123.03,2683661.62,2675115.39,2666496.28,2657811.71,2649069.63,2640284.74,2631469.61,2622626.01,2613751.97,2604848.9,2595923.52,2586988.46,2578057.96,2569149.18,2560276.72,2551448.29,2542670.2,2533954.7,2525314.33,2516758.74,2508291.21,2499912.44,2491626.09,2483434.88,2475338.23,2467331.05,2459404.38,2451546,2443741.06,2435973.14,2428224.53,2420476,2412707.2,2404896.62,2397021.25
10,Lower-middle-income countries,778277.19,792199,807013.01,822676.6,839156.19,856426.93,874473.33,893288.8,912874.32,933235.97,954378.26,976296.69,998971.41,1022364.24,1046426.89,1071123.46,1096449.91,1122412.98,1149003.44,1176213.82,1204047.1,1232504.91,1261613.3,1291433.05,1322043.02,1353508.56,1385817.28,1418974.16,1453077.78,1488251.48,1524562.33,1562032.47,1600573.02,1639997.22,1680050.48,1720525.78,1761340.89,1802467.65,1843817.36,1885307.43,1926867.85,1968443.94,2009995.6,2051492.88,2092918.07,2134261.01,2175500.23,2216635.47,2257709.39,2298784.5,2339911.63,2381099.25,2422348.99,2463697.21,2505185.43,2546842.1,2588682.7,2630698.57,2672862.08,2715130.78,2757470.39,2799869.36,2842325.83,2884825.74,2927355.19,2969901,3012429.53,3054924.18,3097406.9,3139913.43,3182454.15,3225030.47,3267583.12,3309986.94,3352078.26,3393732.16,3434890.95,3475557.55,3515743.33,3555484.96,3594806.56,3633695.11,3672122.08,3710080.26,3747563.27,3784564.39,3821074.56,3857086.2,3892596.1,3927602.44,3962101.13,3996086.03,4029545.91,4062465.03,4094824.38,4126607.74,4157804.64,4188408.44,4218410.8,4247804.86,4276583.68,4304742.49,4332274.22,4359167.19,4385408.3,4410988.47,4435902.92,4460153.94,4483749.06,4506699.9,4529016.34,4550703.09,4571761.63,4592196.21,4612010.69,4631209.89,4649799.09,4667785.55,4685178.91,4701989.93,4718228.52,4733903.36,4749021.07,4763587.07,4777605.72,4791082.86,4804025.7,4816444.21,4828350.16,4839756.59,4850675.68,4861115.5,4871083.68,4880591.52,4889650.58,4898270.76,4906462.82,4914232.22,4921577.65,4928494.27,4934981.22,4941043.8,4946692.78,4951942.43,4956808.1,4961303.83,4965441.94,4969232.41,4972682.76,4975798.3,4978581.79
