"","sampleid","partners","ordering"
"1","True",6,1
"2","True",1,1
"3","True",40,1
"4","True",10,1
"5","True",35,1
"6","True",9,1
"7","True",30,1
"8","True",7,1
"9","True",12,1
"10","True",6,1
"11","True",8,1
"12","True",20,1
"13","True",4,1
"14","True",16,1
"15","True",5,1
"16","True",4,1
"17","True",7,1
"18","True",5,1
"19","True",12,1
"20","True",15,1
"21","True",20,1
"22","True",1,1
"23","True",2,1
"24","True",12,1
"25","True",5,1
"26","True",10,1
"27","True",2,1
"28","True",30,1
"29","True",5,1
"30","True",4,1
"31","True",25,1
"32","True",4,1
"33","True",1,1
"34","True",9,1
"35","True",9,1
"36","True",7,1
"37","True",2,1
"38","True",1,1
"39","True",10,1
"40","True",8,1
"41","True",1,1
"42","True",17,1
"43","True",19,1
"44","True",12,1
"45","True",6,1
"46","True",20,1
"47","True",2,1
"48","True",8,1
"49","True",4,1
"50","True",3,1
"51","Boot 1",8,2
"52","Boot 1",4,2
"53","Boot 1",5,2
"54","Boot 1",2,2
"55","Boot 1",2,2
"56","Boot 1",12,2
"57","Boot 1",1,2
"58","Boot 1",10,2
"59","Boot 1",8,2
"60","Boot 1",15,2
"61","Boot 1",20,2
"62","Boot 1",1,2
"63","Boot 1",17,2
"64","Boot 1",12,2
"65","Boot 1",2,2
"66","Boot 1",7,2
"67","Boot 1",12,2
"68","Boot 1",20,2
"69","Boot 1",10,2
"70","Boot 1",1,2
"71","Boot 1",6,2
"72","Boot 1",7,2
"73","Boot 1",7,2
"74","Boot 1",12,2
"75","Boot 1",19,2
"76","Boot 1",4,2
"77","Boot 1",20,2
"78","Boot 1",1,2
"79","Boot 1",5,2
"80","Boot 1",20,2
"81","Boot 1",1,2
"82","Boot 1",20,2
"83","Boot 1",12,2
"84","Boot 1",1,2
"85","Boot 1",2,2
"86","Boot 1",3,2
"87","Boot 1",5,2
"88","Boot 1",2,2
"89","Boot 1",12,2
"90","Boot 1",1,2
"91","Boot 1",6,2
"92","Boot 1",20,2
"93","Boot 1",1,2
"94","Boot 1",5,2
"95","Boot 1",30,2
"96","Boot 1",2,2
"97","Boot 1",10,2
"98","Boot 1",1,2
"99","Boot 1",1,2
"100","Boot 1",12,2
"101","Boot 2",8,3
"102","Boot 2",9,3
"103","Boot 2",1,3
"104","Boot 2",17,3
"105","Boot 2",12,3
"106","Boot 2",10,3
"107","Boot 2",5,3
"108","Boot 2",40,3
"109","Boot 2",2,3
"110","Boot 2",1,3
"111","Boot 2",6,3
"112","Boot 2",2,3
"113","Boot 2",8,3
"114","Boot 2",12,3
"115","Boot 2",9,3
"116","Boot 2",2,3
"117","Boot 2",9,3
"118","Boot 2",20,3
"119","Boot 2",8,3
"120","Boot 2",12,3
"121","Boot 2",7,3
"122","Boot 2",7,3
"123","Boot 2",9,3
"124","Boot 2",1,3
"125","Boot 2",9,3
"126","Boot 2",1,3
"127","Boot 2",4,3
"128","Boot 2",2,3
"129","Boot 2",17,3
"130","Boot 2",9,3
"131","Boot 2",12,3
"132","Boot 2",8,3
"133","Boot 2",10,3
"134","Boot 2",3,3
"135","Boot 2",12,3
"136","Boot 2",2,3
"137","Boot 2",1,3
"138","Boot 2",5,3
"139","Boot 2",5,3
"140","Boot 2",1,3
"141","Boot 2",5,3
"142","Boot 2",12,3
"143","Boot 2",2,3
"144","Boot 2",1,3
"145","Boot 2",6,3
"146","Boot 2",10,3
"147","Boot 2",12,3
"148","Boot 2",20,3
"149","Boot 2",2,3
"150","Boot 2",5,3
"151","Boot 3",2,4
"152","Boot 3",1,4
"153","Boot 3",4,4
"154","Boot 3",1,4
"155","Boot 3",9,4
"156","Boot 3",2,4
"157","Boot 3",19,4
"158","Boot 3",1,4
"159","Boot 3",12,4
"160","Boot 3",2,4
"161","Boot 3",4,4
"162","Boot 3",6,4
"163","Boot 3",30,4
"164","Boot 3",15,4
"165","Boot 3",6,4
"166","Boot 3",2,4
"167","Boot 3",35,4
"168","Boot 3",20,4
"169","Boot 3",5,4
"170","Boot 3",3,4
"171","Boot 3",16,4
"172","Boot 3",2,4
"173","Boot 3",10,4
"174","Boot 3",6,4
"175","Boot 3",1,4
"176","Boot 3",4,4
"177","Boot 3",15,4
"178","Boot 3",2,4
"179","Boot 3",16,4
"180","Boot 3",10,4
"181","Boot 3",9,4
"182","Boot 3",8,4
"183","Boot 3",12,4
"184","Boot 3",4,4
"185","Boot 3",4,4
"186","Boot 3",7,4
"187","Boot 3",30,4
"188","Boot 3",25,4
"189","Boot 3",8,4
"190","Boot 3",10,4
"191","Boot 3",5,4
"192","Boot 3",12,4
"193","Boot 3",4,4
"194","Boot 3",1,4
"195","Boot 3",25,4
"196","Boot 3",6,4
"197","Boot 3",20,4
"198","Boot 3",1,4
"199","Boot 3",12,4
"200","Boot 3",12,4
