"","size","means","medians","ordering"
"1","N=10",9.6,4,10
"2","N=10",9.4,20,10
"3","N=10",11.9,4,10
"4","N=10",12.4,7,10
"5","N=10",12.5,6.5,10
"6","N=10",14,17.5,10
"7","N=10",17,6.5,10
"8","N=10",11.1,9.5,10
"9","N=10",5.2,7,10
"10","N=10",14.2,10,10
"11","N=10",11.4,9.5,10
"12","N=10",9.2,9,10
"13","N=10",8.3,7.5,10
"14","N=10",15.7,9,10
"15","N=10",12.1,6.5,10
"16","N=10",13.1,9,10
"17","N=10",10.7,7,10
"18","N=10",6.8,9,10
"19","N=10",13.3,7,10
"20","N=10",16.9,4.5,10
"21","N=10",15.1,5,10
"22","N=10",13,4,10
"23","N=10",12,5,10
"24","N=10",10.9,10,10
"25","N=10",6.5,12.5,10
"26","N=10",12,12.5,10
"27","N=10",12.4,2,10
"28","N=10",12.8,4,10
"29","N=10",18.3,2,10
"30","N=10",4.8,2,10
"31","N=10",17.7,10,10
"32","N=10",12.5,7,10
"33","N=10",12.6,3.5,10
"34","N=10",11.2,7,10
"35","N=10",15.4,4.5,10
"36","N=10",9.1,9,10
"37","N=10",2.8,15,10
"38","N=10",10.1,7,10
"39","N=10",15,5,10
"40","N=10",14.3,7.5,10
"41","N=10",16.8,6.5,10
"42","N=10",6.9,7.5,10
"43","N=10",9.1,7,10
"44","N=10",11.8,3.5,10
"45","N=10",6.9,9.5,10
"46","N=10",7.4,2,10
"47","N=10",17.8,7,10
"48","N=10",9.9,7,10
"49","N=10",9.1,4.5,10
"50","N=10",11.6,9,10
"51","N=10",15.8,6.5,10
"52","N=10",7.4,7,10
"53","N=10",10.7,4.5,10
"54","N=10",5.9,12.5,10
"55","N=10",5.7,6,10
"56","N=10",17.6,7.5,10
"57","N=10",17.3,5,10
"58","N=10",12.8,4.5,10
"59","N=10",15.5,4.5,10
"60","N=10",16.3,12.5,10
"61","N=10",13.2,20,10
"62","N=10",8.6,15,10
"63","N=10",8.9,4,10
"64","N=10",9.8,12.5,10
"65","N=10",7.6,7,10
"66","N=10",13.3,12,10
"67","N=10",11.7,3.5,10
"68","N=10",17,6.5,10
"69","N=10",9.4,10,10
"70","N=10",6.5,10,10
"71","N=10",9,7,10
"72","N=10",8.1,9.5,10
"73","N=10",15.6,5,10
"74","N=10",12.4,9.5,10
"75","N=10",10.5,7,10
"76","N=10",12,12.5,10
"77","N=10",8,9.5,10
"78","N=10",4.9,3,10
"79","N=10",12.6,12.5,10
"80","N=10",10.9,7.5,10
"81","N=10",11.4,6.5,10
"82","N=10",9.5,12.5,10
"83","N=10",15.7,6.5,10
"84","N=10",7,9,10
"85","N=10",16.6,4.5,10
"86","N=10",10.1,5,10
"87","N=10",11,7,10
"88","N=10",12.8,5,10
"89","N=10",13.3,20,10
"90","N=10",16.9,3.5,10
"91","N=10",15,12.5,10
"92","N=10",13.1,4.5,10
"93","N=10",14.2,2,10
"94","N=10",14,9,10
"95","N=10",5,9.5,10
"96","N=10",13.5,7,10
"97","N=10",14.6,2,10
"98","N=10",12.8,7,10
"99","N=10",6.3,12,10
"100","N=10",9,10,10
"101","N=10",14,9.5,10
"102","N=10",5.8,7.5,10
"103","N=10",7.4,7,10
"104","N=10",13.3,3,10
"105","N=10",9.6,7,10
"106","N=10",19.5,7,10
"107","N=10",19.7,7.5,10
"108","N=10",6.3,9.5,10
"109","N=10",7.1,9,10
"110","N=10",6.6,5,10
"111","N=10",9.7,7,10
"112","N=10",13.6,7,10
"113","N=10",8.3,7.5,10
"114","N=10",9.1,9,10
"115","N=10",6.2,7,10
"116","N=10",13.6,5,10
"117","N=10",7.4,4.5,10
"118","N=10",5,6.5,10
"119","N=10",9.8,5,10
"120","N=10",6,9,10
"121","N=10",6.8,5,10
"122","N=10",13.5,12,10
"123","N=10",7.3,4.5,10
"124","N=10",18.1,7.5,10
"125","N=10",12.8,3.5,10
"126","N=10",8.2,9.5,10
"127","N=10",7.8,17.5,10
"128","N=10",14.3,2,10
"129","N=10",14.1,7,10
"130","N=10",5,3,10
"131","N=10",12.5,4.5,10
"132","N=10",10.2,7,10
"133","N=10",9.4,5,10
"134","N=10",7.7,3.5,10
"135","N=10",8.3,7,10
"136","N=10",18.8,4.5,10
"137","N=10",6.7,12.5,10
"138","N=10",10.2,9.5,10
"139","N=10",11.7,3,10
"140","N=10",7,7,10
"141","N=10",5.4,3.5,10
"142","N=10",14.3,7.5,10
"143","N=10",10.7,3,10
"144","N=10",8.3,2,10
"145","N=10",4.9,7,10
"146","N=10",12.5,3,10
"147","N=10",8.3,7,10
"148","N=10",15.7,9,10
"149","N=10",12.9,4.5,10
"150","N=10",13.3,7.5,10
"151","N=10",13.4,9.5,10
"152","N=10",13.4,4,10
"153","N=10",9.1,5,10
"154","N=10",9.5,9.5,10
"155","N=10",14.2,7,10
"156","N=10",18.5,3,10
"157","N=10",12.4,9.5,10
"158","N=10",18.7,5,10
"159","N=10",7.1,3,10
"160","N=10",12.9,4.5,10
"161","N=10",6.8,9,10
"162","N=10",10.1,4.5,10
"163","N=10",7.8,7,10
"164","N=10",12.4,5,10
"165","N=10",11.2,3,10
"166","N=10",11.8,10,10
"167","N=10",12.8,2,10
"168","N=10",8.5,9.5,10
"169","N=10",15.5,5,10
"170","N=10",9.3,10,10
"171","N=10",6.7,9.5,10
"172","N=10",16.4,7,10
"173","N=10",19,15,10
"174","N=10",7.2,5,10
"175","N=10",8.7,4,10
"176","N=10",5.3,7,10
"177","N=10",15.2,12,10
"178","N=10",12.7,12.5,10
"179","N=10",10.8,10,10
"180","N=10",12.4,4.5,10
"181","N=10",18.9,4.5,10
"182","N=10",4.5,7,10
"183","N=10",14.3,10,10
"184","N=10",12.4,5,10
"185","N=10",13.3,6.5,10
"186","N=10",6.7,9.5,10
"187","N=10",10.3,9.5,10
"188","N=10",6.2,7,10
"189","N=10",14.1,4.5,10
"190","N=10",16.1,1.5,10
"191","N=10",8.4,17.5,10
"192","N=10",9,5,10
"193","N=10",10.8,3.5,10
"194","N=10",10.1,7,10
"195","N=10",6.6,4.5,10
"196","N=10",11.9,9.5,10
"197","N=10",9.7,12.5,10
"198","N=10",17.6,7.5,10
"199","N=10",11.2,5,10
